N0.,DOI or website,Journal name,Article name,Country,Year,Province,City,Publish year,Location,Longtitude,latitude,SOC,Type of microbial fertilizers,Application（kg/hm2）,Types of microorganisms,n1,Yield1,Yield_SD1,Output_value1,Output_value_SD1,Net_profit1,Net_profit_SD1,Output_input_ratio1,Output_input_ratio_SD1,n2,Yield2,Yield_SD2,Output_value2,Output_value_SD2,Net_profit2,Net_profit_SD2,Output_input_ratio2,Output_input_ratio_SD2
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Laibin,2022,"Xiangzhou County, Guangxi Zhuang Autonomous Region",106.85,22.34,1.496519722,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,7892.78,109.1648578,NA,NA,NA,NA,NA,NA,3,8457.14,187.0122971,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Laibin,2022,"Xiangzhou County, Guangxi Zhuang Autonomous Region",106.85,22.34,1.496519722,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,7892.78,109.1648578,NA,NA,NA,NA,NA,NA,3,7501.69,165.8844809,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Laibin,2022,"Xiangzhou County, Guangxi Zhuang Autonomous Region",106.85,22.34,1.496519722,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,7892.78,109.1648578,NA,NA,NA,NA,NA,NA,3,7108.95,157.1998417,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Wuzhou,2022,"Cenxi County, Wuzhou City, Guangxi Zhuang Autonomous Region",106.85,22.34,1.513921114,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,7739.31,107.0422178,NA,NA,NA,NA,NA,NA,3,7376.27,163.1110749,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Wuzhou,2022,"Cenxi County, Wuzhou City, Guangxi Zhuang Autonomous Region",106.85,22.34,1.513921114,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,7739.31,107.0422178,NA,NA,NA,NA,NA,NA,3,7161.75,158.3674053,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Wuzhou,2022,"Cenxi County, Wuzhou City, Guangxi Zhuang Autonomous Region",106.85,22.34,1.513921114,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,7739.31,107.0422178,NA,NA,NA,NA,NA,NA,3,7656.8,169.3144203,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Chongzuo,2022,"Longzhou County, Chongzuo City, Guangxi Zhuang Autonomous Region",106.85,22.34,2.175174014,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,5990.13,82.84934965,NA,NA,NA,NA,NA,NA,3,5885.12,130.1373525,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Chongzuo,2022,"Longzhou County, Chongzuo City, Guangxi Zhuang Autonomous Region",106.85,22.34,2.175174014,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,5990.13,82.84934965,NA,NA,NA,NA,NA,NA,3,5792.11,128.0806272,NA,NA,NA,NA,NA,NA
5,https://doi.org/10.16035/j.issn.1001-7283.2022.01.024,Crops,Effects of Partial Substitution of Chemical Fertilizer with Seaweed Fertilizer and Microbial Inoculant on Rice Yield and Its Components,China,2019,Guangxi,Chongzuo,2022,"Longzhou County, Chongzuo City, Guangxi Zhuang Autonomous Region",106.85,22.34,2.175174014,Microbial Inoculant,NA,"Bacillus subtilis, Bacillus laterosporus, Bacillus siliceus, Bacillus psychrosaccharolyticus",3,5990.13,82.84934965,NA,NA,NA,NA,NA,NA,3,5973.63,132.0945696,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2020,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1200,NA,3,5021.6,69.45363359,NA,NA,NA,NA,NA,NA,3,5126.3,113.3576053,NA,NA,NA,NA,NA,NA
